Code	Latitude	Longitude	h (m)	St year	Ed year
ABP	-12.77	-38.17	1	2006	2010
ALT	82.451	-62.507	190	1985	2015
AMT	-37.798	77.538	55	1983	1990
ASC	-7.967	-14.4	85	1983	2015
ASK	23.262	5.632	2710	1995	2015
AVI	17.75	-64.75	3	1983	1990
AZR	38.766	-27.375	19	1983	2015
BAL	55.35	17.22	3	1992	2011
BHD	-41.408	174.871	85	1999	2015
BKT	-0.202	100.318	845	2004	2015
BME	32.368	-64.648	12	1987	2007
BMW	32.265	-64.879	30	1989	2015
BRW	71.323	-156.611	11	1983	2015
BSC	44.178	28.665	0	1994	2011
CBA	55.21	-162.72	21.3	1983	2015
CGO	-40.683	144.69	94	1984	2015
CHR	1.7	-157.152	0	1984	2014
CIB	41.81	-4.93	845	2009	2015
CMO	45.478	-123.969	30	1983	1998
CPT	-34.352	18.489	230	2010	2015
CRZ	-46.434	51.848	197	1995	2015
DRP	-59	-64.69	0	2006	2015
DSI	20.699	116.73	3	2010	2015
EIC	-27.16	-109.428	47	1994	2015
GMI	13.386	144.656	0	1983	2015
GOZ	36.048	14.889	1	1993	1997
HBA	-75.605	-26.21	30	1983	2015
HFM 	42.5	72.2	1996	2015
HPB	47.801	11.024	936	2006	2015
HUN	46.95	16.65	248	1993	2015
ICE	63.4	-20.288	118	1992	2015
ITN	35.365	-77.393	8	1992	1999
IZO	28.309	-16.499	2372.9	1991	2015
KEY	25.665	-80.158	1	1983	2015
KUM	19.52	-154.82	3	1983	2015
KZD	44.084	76.871	595	1997	2009
KZM	43.25	77.88	2519	1997	2009
LEF	45.945	-90.273	472	1994	2015
LLB	54.95	-112.45	540	2008	2013
LLN	23.47	120.87	2862	2006	2015
LMP	35.52	12.62	45	2006	2015
MBC	76.247	-119.353	30	1983	1997
MEX	18.984	-97.311	4464	2009	2015
MHD	53.326	-9.899	5	1991	2015
MID	28.21	-177.38	11	1985	2015
MKN	-0.062	37.297	3644	2003	2011
MLO	19.536	-155.576	3397	1983	2015
NAT	-5.795	-35.185	50	2010	2015
NMB	-23.58	15.03	456	1997	2015
NWR	40.053	-105.586	3523	1983	2015
OPW	48.3	-124.628	486	1985	1990
OXK	50.03	11.808	1009	2006	2015
PAL	67.97	24.12	560	2001	2015
PSA	-64.92	-64	10	1983	2015
PTA	38.955	-123.741	17	1999	2011
RPB	13.165	-59.432	15	1987	2015
SDZ	40.65	117.117	293	2009	2015
SEY	-4.682	55.532	2	1983	2015
SGP	36.607	-97.489	314	2002	2015
SHM	52.711	174.126	23	1985	2015
SMO	-14.247	-170.564	42	1983	2015
SPO	-89.98	-24.8	2810	1983	2015
STM	66	2	0	1983	2009
SUM	72.596	-38.422	3209.5	1997	2015
SYO	-69.013	39.59	14	1986	2016
TAP	36.738	126.133	16	1991	2015
THD	41.054	-124.151	107	2002	2015
TIK	71.597	128.889	31	2011	2015
USH	-54.848	-68.311	12	1994	2015
UTA	39.902	-113.718	1327	1993	2015
UUM	44.452	111.096	1007	1992	2015
WIS	29.965	35.06	151	1995	2015
WKT	31.315	-97.327	251	2001	2010
WLG	36.288	100.896	3810	1991	2015
ZEP	78.907	11.888	474	1994	2015
