# --------------------------------------------------------------------
# USE OF NOAA ESRL DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# insure that ESRL receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# ESRL should be informed at the outset of the nature of this work.  
# If the ESRL data are essential to the work, or if an important 
# result or conclusion depends on the ESRL data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the ESRL data should be sent to ESRL
# for review before they are submitted for publication so we can
# insure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:   Ed Dlugokencky (303 497 6228; ed.dlugokencky@noaa.gov)
# 
# File Creation:  Thu Jan  5 04:05:03 2017
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the ESRL data, namely well documented model code, transport
# fields, and additional information necessary for other
# scientists to repeat the work and to run modified versions.
# Model availability includes collaborative support for new
# users of the models.
# --------------------------------------------------------------------
#  
#  
# See www.esrl.noaa.gov/gmd/ccgg/trends_ch4/ for additional details.
#  
# The uncertainty in the global monthly mean is estimated using a
# monte carlo technique that computes 100 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA ESRL cooperative air sampling network.  The
# reported uncertainties are the standard deviations
# for each monthly mean using this technique.  Please see Dlugokencky et
# al., 1994, JGR, vol. 99, 17021-17043, for a complete discussion. Units are ppb.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
#
# year   month       decimal       average   average_unc         trend     trend_unc
  1984       1      1984.042        1639.0           2.0        1638.9           1.0
  1984       2      1984.125        1638.6           2.4        1639.9           0.9
  1984       3      1984.208        1639.6           1.8        1640.8           0.9
  1984       4      1984.292        1643.1           1.9        1641.9           0.8
  1984       5      1984.375        1643.2           1.1        1643.0           0.7
  1984       6      1984.458        1639.6           0.7        1644.1           0.7
  1984       7      1984.542        1637.7           0.9        1645.2           0.6
  1984       8      1984.625        1640.9           1.4        1646.4           0.6
  1984       9      1984.708        1649.3           1.1        1647.5           0.6
  1984      10      1984.792        1654.1           1.6        1648.8           0.6
  1984      11      1984.875        1653.5           0.9        1649.9           0.6
  1984      12      1984.958        1655.9           1.0        1650.8           0.5
  1985       1      1985.042        1656.3           1.1        1652.0           0.5
  1985       2      1985.125        1652.7           1.5        1653.1           0.5
  1985       3      1985.208        1654.1           0.9        1654.0           0.5
  1985       4      1985.292        1657.8           0.7        1655.0           0.5
  1985       5      1985.375        1656.1           1.2        1656.1           0.5
  1985       6      1985.458        1650.1           1.2        1657.1           0.5
  1985       7      1985.542        1646.1           1.1        1658.1           0.5
  1985       8      1985.625        1650.9           1.2        1659.1           0.5
  1985       9      1985.708        1661.6           1.2        1660.1           0.6
  1985      10      1985.792        1667.4           1.1        1661.1           0.6
  1985      11      1985.875        1667.0           1.2        1662.1           0.6
  1985      12      1985.958        1666.4           1.0        1663.2           0.6
  1986       1      1986.042        1666.4           1.2        1664.3           0.6
  1986       2      1986.125        1666.9           1.9        1665.3           0.7
  1986       3      1986.208        1669.1           1.6        1666.2           0.7
  1986       4      1986.292        1670.7           1.6        1667.2           0.7
  1986       5      1986.375        1668.5           0.8        1668.2           0.7
  1986       6      1986.458        1664.9           1.1        1669.1           0.7
  1986       7      1986.542        1662.2           1.0        1670.1           0.8
  1986       8      1986.625        1663.2           1.6        1671.1           0.8
  1986       9      1986.708        1670.9           1.4        1672.2           0.8
  1986      10      1986.792        1678.0           1.8        1673.2           0.8
  1986      11      1986.875        1678.7           1.8        1674.2           0.8
  1986      12      1986.958        1677.9           1.1        1675.2           0.8
  1987       1      1987.042        1677.2           1.2        1676.4           0.8
  1987       2      1987.125        1676.8           1.1        1677.5           0.8
  1987       3      1987.208        1678.6           0.9        1678.4           0.7
  1987       4      1987.292        1680.9           0.9        1679.4           0.7
  1987       5      1987.375        1681.9           1.1        1680.5           0.7
  1987       6      1987.458        1680.5           0.9        1681.5           0.6
  1987       7      1987.542        1676.2           0.8        1682.5           0.6
  1987       8      1987.625        1676.3           0.9        1683.5           0.5
  1987       9      1987.708        1683.9           1.1        1684.5           0.5
  1987      10      1987.792        1690.6           1.2        1685.4           0.4
  1987      11      1987.875        1691.3           0.8        1686.3           0.4
  1987      12      1987.958        1690.4           0.8        1687.3           0.4
  1988       1      1988.042        1690.3           0.9        1688.3           0.4
  1988       2      1988.125        1690.7           0.8        1689.1           0.4
  1988       3      1988.208        1690.8           1.1        1689.9           0.5
  1988       4      1988.292        1690.4           1.1        1690.8           0.5
  1988       5      1988.375        1689.8           1.0        1691.7           0.5
  1988       6      1988.458        1688.0           1.1        1692.6           0.6
  1988       7      1988.542        1686.2           0.9        1693.5           0.6
  1988       8      1988.625        1689.1           1.0        1694.4           0.6
  1988       9      1988.708        1695.9           1.1        1695.4           0.7
  1988      10      1988.792        1701.5           1.3        1696.4           0.7
  1988      11      1988.875        1703.2           1.3        1697.4           0.7
  1988      12      1988.958        1702.3           1.0        1698.2           0.7
  1989       1      1989.042        1699.8           1.0        1699.3           0.7
  1989       2      1989.125        1699.7           1.2        1700.3           0.6
  1989       3      1989.208        1701.5           1.2        1701.1           0.6
  1989       4      1989.292        1703.1           1.0        1702.1           0.6
  1989       5      1989.375        1703.6           0.5        1703.0           0.6
  1989       6      1989.458        1700.9           0.8        1703.9           0.6
  1989       7      1989.542        1698.3           0.9        1704.8           0.6
  1989       8      1989.625        1701.2           1.0        1705.7           0.6
  1989       9      1989.708        1706.5           0.8        1706.6           0.6
  1989      10      1989.792        1710.2           0.9        1707.4           0.6
  1989      11      1989.875        1712.2           0.8        1708.2           0.6
  1989      12      1989.958        1712.0           0.9        1709.0           0.6
  1990       1      1990.042        1711.1           1.1        1709.8           0.6
  1990       2      1990.125        1712.3           1.2        1710.5           0.6
  1990       3      1990.208        1713.3           1.0        1711.1           0.6
  1990       4      1990.292        1712.5           1.0        1711.8           0.6
